index,author,year,critiria,min_age,max_age,men,women,proportional,gender,country_1,country_2,cluster
1,alder,2022,crr,2,8,24,8,no,no,usa,usa,1
3,arnell,2022,crr,12,16,8,4,no,no,suecia,suecia,6
4,arnell,2020,c+isr+crr,6,12,16,12,no,no,suecia,suecia,6
5,arnell,2018,crr,12,16,17,7,no,si,suecia,suecia,6
6,bassette,2018,crr,18,21,1,2,no,no,usa,usa,3
7,becerra,2021,crr,4,4,1,2,no,no,usa,usa,1
8,bennett,2022,crr,13,18,24,10,si,no,usa,usa,1
9,benson,2019,crr,18,35,23,9,no,no,canada,canada,7
10,bishop,2022,crr,18,28,222,114,no,no,usa,usa,3
11,blagrave,2022,c+isr+crr,8,14,5,3,no,no,usa,usa,1
12,bo,2019,c+isr+crr,8,12,9,0,no,no,china,usa,0
13,bremer,2020,crr,8,12,12,0,no,no,canada,canada,7
14,bremer,2020,crr,6,13,158,44,no,no,canada,canada,7
15,brown,2020,crr,4,17,161,39,no,no,canada,canada,7
16,carey,2022,crr,5,18,0,24,no,no,irlanda,uk,8
17,chu,2020,crr,12,18,63,0,no,no,taiwan,taiwan,1
18,columna,2020,crr,5,14,9,0,no,no,usa,usa,1
19,dahlgren,2021,crr,9,18,138,38,si,no,usa,usa,1
21,esenturk,2021,crr,9,14,8,6,no,no,turquia,turquia,4
22,esenturk,2020,crr,9,16,5,5,si,no,turquia,turquia,4
23,fiscella,2021,c+isr+crr,6,17,7898,7538,no,no,usa,usa,2
24,garcia,2020,crr,8,16,12,2,no,no,usa,usa,1
25,garcia-pastor,2019,crr,7,48,56,22,no,si,españa,españa,5
26,gehricke,2020,crr,6,11,304,71,no,si,usa,usa,1
27,gehricke,2022,crr,6,12,124,24,no,si,usa,usa,1
28,haegele,2021,crr,13,17,10,26,si,no,usa,usa,1
29,hamm,2019,c+isr+crr,18,35,138,177,no,no,usa,usa,3
30,hamm,2018,crr,18,35,92,50,no,no,usa,usa,3
31,healy,2020,crr,6,17,2277,514,si,si,usa,usa,1
32,healy,2018,crr,6,16,9,4,no,no,usa,usa,1
34,heffernan,2018,crr,5,9,13,2,no,no,usa,usa,1
35,helsel,2022,crr,11,17,12,8,no,si,usa,usa,1
36,helsel,2022,crr,11,17,12,8,no,si,usa,usa,1
37,hillier,2020,crr,18,27,27,3,si,no,usa,usa,3
38,hocking,2022,crr,10,17,9,1,no,no,australia,australia,8
41,jachyra,2021,crr,12,18,10,0,no,no,canada,canada,7
42,jozkowski,2019,c+isr+crr,18,25,19,17,no,no,usa,usa,3
43,ketcheson,2021,c+isr+crr,4,6,15,5,no,no,usa,usa,1
44,ketcheson,2018,crr,2,5,36,17,no,no,usa,usa,1
45,ketcheson,2021,crr,3,5,18,7,no,no,usa,usa,1
46,kim,2020,crr,18,42,11,6,no,no,korea,usa,3
47,kozlowski,2021,crr,7,12,52,6,no,no,usa,usa,1
48,lee,2020,crr,20,40,9,8,no,no,usa,usa,3
49,lee,2022,crr,10,17,70,22,no,no,irlanda,usa,1
50,li,2022,c+isr+crr,6,9,68,10,no,no,china,china,0
54,mahdi,2022,crr,6,14,15,3,no,no,canada,canada,7
55,mason,2021,c+isr+crr,18,45,86,114,si,si,usa,usa,3
56,mccoy,2020,crr,10,17,16514,15798,no,no,usa,usa,2
58,moraes,2022,crr,10,16,22,0,no,no,brasil,uk,8
59,nguyen,2021,crr,7,17,50,0,no,no,francia,francia,8
60,nichols,2019,crr,22,28,8,0,no,no,usa,usa,3
61,oreskovic,2020,crr,6,10,8,4,no,no,usa,usa,1
64,rosca,2022,crr,8,14,20,8,no,no,rumania,rumania,8
66,sansi,2021,c+isr+crr,6,11,32,13,no,no,turquia,turquia,4
67,spratt,2018,c+isr+crr,15,27,7,5,no,no,usa,usa,3
68,sung,2021,crr,4,6,36,17,no,no,taiwan,taiwan,1
69,sung,2022,crr,6,18,68,0,no,no,usa,taiwan,1
70,thomas,2021,crr,4,7,21,13,no,no,australia,australia,8
72,tomaszewski,2021,crr,18,55,27,11,no,no,usa,usa,3
73,toscano,2018,c+isr+crr,6,12,56,8,no,no,brasil,brasil,0
74,tse,2020,c+isr+crr,8,12,23,4,no,no,china,china,0
75,tse,2019,crr,8,12,32,8,no,no,china,usa,0
76,waldron,2022,crr,18,78,3451,919,no,si,usa,usa,3
78,woodman,2018,crr,5,13,11,2,no,no,usa,usa,1
79,ye,2019,crr,11,14,20,4,no,no,china,china,0
80,yu,2020,crr,20,29,35,0,no,no,korea,korea,3
81,zhao,2018,c+isr+crr,5,8,29,12,no,no,china,china,0
