index,author,year,critiria,min_age,max_age,men,women,proportional,gender,brasil,españa,irlanda,korea,suecia,canada,serbia,uk,australia,usa,china,taiwan,belgica,turquia,francia,rumania
2,arkesteyn,2021,0,3,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,djordjevic,2022,0,3,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,healy,2018,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,howells,2019,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,hynes,2022,1,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,liang,2020,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,liang,2022,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,lopez-valverde,2021,0,18,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,monteiro,2022,0,3,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,rech,2022,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,reinders,2019,1,4,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,ruggeri,2020,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,thompson,2022,0,18,85,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,wong,2022,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,zhong,2022,0,5,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
